미국_GDP,영국_GDP,유로존_GDP,일본_GDP,한국_GDP,독일 2년_Price,미국 2년_Price,일본 2년_Price,중국 2년_Price,프랑스 2년_Price,한국 2년_Price,미국_CPI,영국_CPI,유로존_CPI,중국_CPI,한국_CPI,미국_CCI,영국_CCI,유로존_CCI,일본_CCI,한국_CCI,미국_Unemploy,영국_Unemploy,유로존_Unemploy,일본_Unemploy,한국_Unemploy,Germany_DAX_Close,Germany_MDAX_Close,Germany_TecDAX_Close,USA_SP500_Close,USA_NASDAQ_Close,USA_DOW_Close,Euro_STOCKS50_Close,Japan_JASDAQ20_Close,Japan_TOPIX_Close,Japan_NIKKEI_Close,China_FTSE_Close,China_SZSE_Close,China_SANGHAI_Close,France_CAC_Close,France_CACNEXT_Close,France_SBF_Close,Korea_KOSDAQ_Close,Korea_KOSPI200_Close,Korea_KOSPI_Close,UK_FTSE_Close,UK_FTSE250_Close,UK_FTSEALL_Close,CNY_KRW_Close,EUR_KRW_Close,GBP_KRW_Close,JPY_KRW_Close,USD_CNY_Close,USD_GBP_Close,USD_JPY_Close,USD_KRW_Close,미국_GDP_Ann,영국_GDP_Ann,유로존_GDP_Ann,일본_GDP_Ann,한국_GDP_Ann,미국_CPI_Ann,영국_CPI_Ann,유로존_CPI_Ann,중국_CPI_Ann,한국_CPI_Ann,미국_CCI_Ann,영국_CCI_Ann,유로존_CCI_Ann,일본_CCI_Ann,한국_CCI_Ann,미국_Unemploy_Ann,영국_Unemploy_Ann,유로존_Unemploy_Ann,일본_Unemploy_Ann,한국_Unemploy_Ann
0.01764845231103,0.0043219829589294,-0.0001777547544872,-0.00470832609298,0.0040826483740886,-0.028,0.2507,0.108,3.085,0.054,2.825,6.31254825772249e-05,0.0070423250595039,0.004,0.0068206668732508,0.002249630570857,62.619295263225546,-27.8664443171253,-27.796077787345887,37.84957807141945,99.91177620719014,0.0778190602423489,0.0768597777612667,0.1183386319212989,0.0411914693690582,0.0299697729897494,7805.337290285976,12115.520162997374,827.5641234694483,144.8587307761917,3081.453690093173,13303.500402004487,2681.450840442256,1456.589811036184,868.92698655683,10500.14045144464,8401.400417490693,9147.27068973642,2283.829230136197,3698.635815959123,7013.03459612939,2834.1340901734475,507.983842624528,269.8554576300756,2037.8965704756815,5961.402271338935,8039.428089419716,3126.079300285987,170.72,1403.1,1727.78,12.2836,6.2303,0.6156,86.69,1063.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.0162880441305877,0.0037657217124568,-0.0002528663339961,-0.0045143020175209,0.0041497059843531,0.036,0.259,0.099,2.9987086742050737,0.075,2.8,0.0001654560278755,0.007187929731951,0.0026479318939217,0.0069925380577375,0.0024907364767869,61.52289001117168,-27.73172608365913,-27.77736303765506,37.87388990417521,100.10796781656477,0.0778791253225689,0.0768240424076938,0.1183015207172933,0.0412784100346589,0.0299698732165927,7778.78,12149.37,842.75,146.06,3112.26,13412.55,2711.25,1463.5452591968203,876.0899887973585,10571.7974595372,8412.313834981385,9140.224379472833,2284.9624602723943,3733.93,7076.53,2861.16,501.61,269.16,2031.1,6027.37,8115.7,3159.65,170.7,1402.38,1728.61,12.1898,6.2303,0.6152,87.34,1063.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0149915173103472,0.003235677322018,-0.0003367574336576,-0.0043279202975881,0.0042087928326659,0.051,0.271,0.099,3.021639116136716,0.126,2.76,0.0002485666604044,0.0072785099483995,0.0013697802758706,0.0071503606537259,0.0027233661160832,60.518894687160845,-27.60336767443433,-27.721361809265183,37.9096330162801,100.29214722385626,0.0779394997485342,0.0767934753082071,0.118259956620414,0.0413597068586056,0.0299708198905558,7756.44,12186.87,854.02,145.73,3100.57,13391.36,2701.22,1480.2924715716376,883.0913273585911,10638.81097841984,8399.422834981386,9116.203379472834,2280.1444602723946,3721.17,7108.12,2855.25,499.07,267.52,2019.41,6047.34,8141.06,3170.26,170.65,1387.43,1711.86,12.1864,6.2303,0.621,87.23,1063.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0137574672396571,0.0027312531644368,-0.0004289910185639,-0.0041489996484414,0.0042601300536197,0.08,0.268,0.097,3.08,0.186,2.72,0.0003133804728644,0.0073166108600091,0.0001641086484842,0.0072949080592519,0.0029475678870396,59.60464317905864,-27.481220839809804,-27.631443859695395,37.95633589148265,100.46465881650764,0.078,0.0767679027831465,0.1182143584094347,0.0414355239691225,0.0299727152379984,7776.37,12244.01,855.24,146.37,3101.66,13435.21,2709.35,1500.53,888.51,10688.11,8400.41,9096.07,2276.99,3730.02,7119.45,2861.74,504.84,266.14,2011.94,6089.84,8169.14,3191.1,170.51,1388.7,1707.05,12.0486,6.2305,0.6223,88.15,1062.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0125844893078661,0.0022518526165367,-0.0005291300538074,-0.0039773587853403,0.0043039387818071,0.0922135306606025,0.2675,0.1,3.1,0.1901485131850475,2.715883822381461,0.0003608205579561,0.0073047776179395,-0.0009705194855997,0.0074269536723514,0.0031633901879497,58.77746937473062,-27.365137330144435,-27.510978946464835,38.01352701353141,100.62584698196206,0.0780604425567212,0.0767471511528519,0.1181651448631297,0.0415060254944333,0.0299756614852805,7786.189615532687,12271.077079609857,855.550375774359,146.71653944595792,3105.8544818871933,13462.36347327206,2712.962420928535,1517.9563963212722,890.9250044810567,10706.623516185122,8437.149160314664,9094.792155489014,2280.5843842750705,3729.670820658411,7139.11720026418,2862.419187923192,508.722587239207,266.0605184991358,2012.3358157705336,6106.804178682985,8203.704124464637,3200.6768300674275,170.38173016057272,1392.215108367145,1709.0125160996658,11.964495793797548,6.2319483811950045,0.6212178627525478,88.72505798361662,1061.8225713637394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0114711789043228,0.0017968790551415,-0.0006367375044804,-0.0038128164235447,0.0043404401518208,0.0862944965731948,0.2699899669222644,0.0993661822848902,3.08,0.167,2.7302276405440056,0.00039181000838,0.0072455553733502,-0.002035540623744,0.0075472708910603,0.0033708814171072,58.03470716204242,-27.25496889579712,-27.36333682709266,38.08073486617493,100.7760561076624,0.0781206438984532,0.0767310467376631,0.1181127347602729,0.0415713755627619,0.0299797608587618,7771.171971129432,12257.203401269557,857.2066301769664,146.4846260443209,3105.3818923666213,13442.788587970124,2706.345544330342,1526.2702123748177,888.9153385612328,10681.280518882642,8468.27913727531,9103.760177058955,2285.8950577416904,3716.872948916474,7153.256053869066,2854.839572764287,509.35766683155737,266.4456396412125,2014.769200905044,6092.881965037261,8218.968763603398,3195.294754934137,170.39737674574286,1393.3679039355095,1711.876993003105,11.990395768836123,6.232618435062758,0.6202037642707107,88.54797929850157,1061.9926578806303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0104161314183758,0.0013657358570747,-0.0007513763356753,-0.0036551912783141,0.0043698552982535,0.075,0.268,0.097,3.155,0.157,2.73,0.0004072719168365,0.0071414892774009,-0.0030323912633108,0.0076566331134144,0.0035700899728057,57.37369042885961,-27.15056728712676,-27.191887259098,38.15748793316173,100.9156305810518,0.078180420504951,0.07671941585792,0.1180575468796383,0.0416317383023322,0.0299851155848023,7732.66,12206.26,859.61,145.97,3098.81,13384.29,2695.56,1519.17,881.06,10599.01,8436.63,9108.47,2285.36,3704.64,7136.2,2846.46,508.72,265.97,2011.25,6064.58,8186.58,3180.95,170.68,1394.12,1713.07,12.1059,6.2296,0.6205,87.78,1063.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0094179422393738,0.0009578263991601,-0.0008726095124844,-0.0035043020649083,0.0043924053556977,0.066,0.256,0.097,3.08,0.144,2.715,0.0004081293760262,0.0069951244812512,-0.0039625079016628,0.0077558137374495,0.0037610642533388,56.79175306304776,-27.05178425449223,-27.0,38.243314698240354,101.04491478957318,0.0782395888559696,0.0767120848339626,0.118,0.041687277841368,0.0299918278897617,7695.83,12191.98,864.52,145.55,3091.81,13328.85,2691.45,1500.78,871.88,10508.06,8337.05,9110.45,2276.07,3705.88,7089.97,2845.93,509.01,263.95,1997.94,6053.63,8130.6,3173.14,170.97,1392.49,1708.6,12.2155,6.2241,0.6228,87.05,1064.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.0084752067566652,0.0005725540582212,-0.001,-0.0033599674985869,0.0044083114587463,0.063,0.244,0.097,3.05,0.135,2.74,0.0003953054786496,0.0068090061360607,-0.0048273270361622,0.0078455861612016,0.0039438526570002,56.2862289524725,-26.958471548252444,-26.79104480731781,38.33774364515935,101.16425312066968,0.0782979654312643,0.0767088799861307,0.1179405129001318,0.0417381583080934,0.03,7720.47,12364.38,875.27,145.92,3105.81,13390.51,2706.39,1516.21,879.05,10578.57,8319.01,9154.87,2275.34,3717.45,7079.59,2853.74,511.94,262.9,1991.81,6098.65,8180.44,3195.92,170.32,1385.74,1699.9,12.0842,6.2262,0.6239,87.88,1060.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0075865203595989,0.0002093222110817,-0.0011331107633144,-0.0032220062946097,0.0044177947419918,0.101,0.252,0.097,3.155,0.161,2.7,0.0003697233174072,0.006585679392989,-0.0056282851641716,0.0079267237827065,0.0041185035820836,55.85445198499939,-26.87048091876628,-26.56839143857058,38.44030325766727,101.27398996178428,0.0783553667105901,0.0767096276347641,0.117879504358808,0.0417845438307321,0.0300097341418768,7708.47,12348.4,875.3,147.08,3121.76,13471.22,2708.27,1594.44,889.02,10652.64,8318.98,9170.06,2283.66,3703.12,7052.56,2842.56,514.48,264.95,2006.8,6101.51,8194.42,3198.28,170.09,1402.97,1709.54,11.949,6.2237,0.6192,88.78,1058.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
